description,entityURL,generatedAtTime,identifier,invalidatedAtTime,title,definedIn_identifier,content_identifier,dataInsertedBy_identifier,wasAttributedTo_identifier,wasDerivedFrom_identifier,wasGeneratedBy_identifier,wasImpactedBy_identifier,wasRevisionOf_identifier
"Aircraft functional hazard assessment",,,DOCUMENT_AIRCRAFT_FHA,,,,,,,,Aircraft_FHA_Development,,
"System function hazard assessment",,,DOCUMENT_SYSTEM_FHA,,,,,,,,System_FHA_Development,,
"Preliminary aircraft safety assessment",,,DOCUMENT_PASA,,,,,,,,PASA_Development,,
"Preliminary system safety assessment",,,DOCUMENT_PSSA,,,,,,,,PSSA_Development,,
"Common Cause particular risk assessment",,,DOCUMENT_PARTICULAR_RISK_ASSESSMENT,,,,,,,,CC_Particular_Risk_Assessment_Development,,
"Common Cause mode analysis",,,DOCUMENT_COMMON_MODE_ANALYSIS,,,,,,,,CC_Common_Mode_Assessment_Development,,
"Common Cause zonal safety analysis",,,DOCUMENT_ZONAL_SAFETY_ANALYSIS,,,,,,,,CC_Zonal_Safety_Assessment_Development,,
"Aircraft safety assessment",,,DOCUMENT_ASA,,,,,,,,ASA_Development,,
"System safety assessment",,,DOCUMENT_SSA,,,,,,,,SSA_Development,,
