description,entityURL,generatedAtTime,identifier,invalidatedAtTime,title,definedIn_identifier,content_identifier,dataInsertedBy_identifier,wasAttributedTo_identifier,wasDerivedFrom_identifier,wasGeneratedBy_identifier,wasImpactedBy_identifier,wasRevisionOf_identifier
,,,ARP4754A_CERTIFICATION_PLAN,,,,,,,,DEVELOP_CERTIFICATION_PLAN,,,CERTIFICATION_PLAN
,,,ARP4754A_SAFETY_PROGRAM_PLAN,,,,,,,,DEVELOP_SAFETY_PROGRAM_PLAN,,,SAFETY_PROGRAM_PLAN
,,,ARP4754A_DEVELOPMENT_PLAN,,,,,,,,DEVELOP_DEVELOPMENT_PLAN,,,DEVELOPMENT_PLAN
,,,ARP4754A_VALIDATION_PLAN,,,,,,,,DEVELOP_VALIDATION_PLAN,,,VALIDATION_PLAN
,,,ARP4754A_VERIFICATION_PLAN,,,,,,,,DEVELOP_VERIFICATION_PLAN,,,VERIFICATION_PLAN
,,,ARP4754A_CONFIGURATION_MANAGEMENT_PLAN,,,,,,,,DEVELOP_CONFIGURATION_MANAGEMENT_PLAN,,,CONFIGURATION_MANAGEMENT_PLAN
,,,ARP4754A_PROCESS_ASSURANCE_PLAN,,,,,,,,DEVELOP_PROCESS_ASSURANCE_PLAN,,,PROCESS_ASSURANCE_PLAN
